English,Spanish
you,tú
i,yo
the,la
to,a
a,un
it,eso
and,y
that,que
of,de
is,es
in,en
what,qué
we,nosotros
me,yo
this,este
he,él
for,por
my,mi
on,en
have,tener
your,su
do,hacer
was,estaba
no,no
not,no
be,ser
are,son
know,saber
can,pueden
with,con
but,pero
all,todos
so,asi que
just,sólo
there,allá
here,aquí
they,ellos
like,me gusta
get,obtener
she,ella
go,Vamos
if,si
right,Correcto
out,afuera
about,sobre
up,arriba
at,a
him,a él
now,ahora
oh,Oh
one,una
come,venir
well,bien
her,su
how,cómo
yeah,sí
will,voluntad
got,obtuvo
want,desear
think,pensar
as,como
see,ver
did,hizo
good,bueno
who,quién
why,por qué
from,de
let,dejar
his,su
yes,sí
when,cuando
going,yendo
time,tiempo
an,un
okay,okey
back,espalda
look,Mira
us,a nosotros
would,haría
them,a ellos
where,dónde
were,fueron
take,tomar
then,después
had,tenido
or,o
been,estado
our,nuestro
gonna,ir a
tell,decir
really,De Verdad
man,hombre
some,alguno
say,decir
hey,Oye
could,pudo
by,por
need,necesitar
something,alguna cosa
has,posee
too,también
more,más
way,camino
down,abajo
make,hacer
very,muy
never,nunca
only,solamente
people,gente
over,sobre
because,porque
little,poco
please,por favor
love,amor
should,debería
mean,significar
said,dijo
sorry,perdón
give,dar
off,apagado
am,soy
thank,gracias
any,ningún
two,dos
even,incluso
much,mucho
doing,haciendo
sure,Por supuesto
thing,cosa
these,estas
help,ayuda
first,primero
into,dentro
anything,cualquier cosa
still,todavía
find,encontrar
life,vida
nothing,nada
sir,señor
day,día
god,dios
work,trabajar
their,sus
uh,oh
again,otra vez
maybe,quizás
must,deber
before,antes de
other,otro
wait,Espere
stop,deténgase
call,llamar
after,después
won,ganó
talk,hablar
away,lejos
than,que
thought,pensamiento
home,hogar
night,noche
put,poner
great,estupendo
those,aquellos
last,ultimo
better,mejor
everything,todo
told,dicho
mr.,Sres.
new,nuevo
things,cosas
always,siempre
keep,mantener
long,largo
years,años
leave,abandonar
does,lo hace
money,dinero
around,alrededor
doesn,no
name,nombre
place,lugar
ever,alguna vez
feel,sentir
guys,tipo
father,padre
guy,tipo
made,hecha
old,antiguo
isn,no
which,cual
big,grande
lot,lote
done,hecho
hello,Hola
nice,bonito
believe,creer
girl,chica
someone,alguien
fine,multa
thanks,Gracias
wanted,querido
kind,tipo
coming,viniendo
house,casa
every,cada
ok,OK
through,mediante
being,siendo
course,curso
stay,Quédate
left,izquierda
dad,papá
enough,suficiente
happened,sucedió
came,vino
may,mayo
mother,madre
wrong,equivocado
world,mundo
bad,malo
might,puede que
three,Tres
today,Este Dia
listen,escuchar
another,otro
understand,comprender
hear,oír
remember,recuerda
ask,pedir
own,propio
same,mismo
show,mostrar
else,más
kill,matar
talking,hablando
found,fundar
next,Siguiente
getting,consiguiendo
care,cuidado
car,coche
looking,buscando
son,hijo
try,probar
woman,mujer
went,se fue
hi,hola
dead,muerto
many,muchos
mind,mente
wasn,no era
friend,amigo
best,mejor
mom,mamá
hell,infierno
morning,Mañana
trying,difícil
boy,chico
together,juntos
yourself,tú mismo
job,trabajo
saw,sierra
family,familia
real,real
without,sin que
baby,bebé
room,habitación
wouldn,lo haría
already,ya
move,Muevete
most,la mayoría
seen,visto
live,En Vivo
miss,señorita
actually,Realmente
huh,¿eh?
shit,mierda
both,ambas cosas
heard,Escuchó
once,una vez
ready,Listo
head,cabeza
called,llamó
used,usó
idea,ocurrencia
knew,supo
hold,mantener
happy,contento
door,puerta
such,tal
fuck,Mierda
brother,hermano
also,además
pretty,bonita
bit,un poco
took,tomó
haven,refugio
yet,aún
men,hombres
whole,entero
start,comienzo
use,usar
while,tiempo
since,ya que
wife,esposa
days,días
guess,adivinar
tomorrow,mañana
matter,asunto
meet,reunir
bring,traer
tonight,esta noche
everyone,todo el mundo
run,correr
wanna,querer
hard,difícil
ah,ahorcado
alone,solo
myself,mí mismo
school,escuela
gone,desaparecido
um,um
end,final
saying,dicho
phone,teléfono
play,desempeñar
looks,aspecto
couldn,se puede
fucking,maldito
problem,problema
few,pocos
friends,amigos
gotta,tengo que
ago,atrás
open,abierto
anyone,cualquiera
killed,delicado
hope,esperar
face,cara
until,Hasta que
lost,perdió
police,policía
excuse,disculpar
turn,giro
business,negocio
case,caso
wants,quiere
says,dice
TRUE,CIERTO
die,morir
heart,corazón
soon,pronto
each,cada
worry,preocuparse
later,luego
year,año
watch,reloj
music,música
hand,mano
having,tener
probably,probablemente
beautiful,hermoso
doctor,médico
sit,sentar
eat,comer
thinking,pensando
young,joven
second,segundo
working,laboral
water,agua
person,persona
part,parte
kids,niños
late,tarde
stuff,cosas
exactly,exactamente
under,por debajo
death,muerte
minute,minuto
pay,pagar
crazy,loca
forget,olvidar
everybody,todos
kid,niño
change,cambio
gave,dio
happen,suceder
damn,maldita sea
five,cinco
drink,beber
far,lejos
knows,saber
its,su
whatever,lo que sea
eyes,ojos
shut,cerrado
aren,no sean
hit,pegar
taking,tomando
easy,fácil
times,veces
check,controlar
hands,manos
minutes,minutos
deal,acuerdo
different,diferente
means,medio
point,punto
inside,en el interior
makes,hace
asked,preguntó
somebody,alguien
mine,mía
making,haciendo
body,cuerpo
afraid,atemorizado
sleep,dormir
chance,oportunidad
dear,Estimado
quite,bastante
four,cuatro
anyway,de todos modos
close,cerca
ain,ain
party,fiesta
fun,divertida
against,contra
word,palabra
comes,proviene
important,importante
set,establecer
shall,deberá
story,historia
number,número
daughter,hija
least,el menos
waiting,esperando
hurt,herir
wish,deseo
moment,momento
fight,lucha
week,semana
husband,esposo
girls,muchachas
rest,descansar
married,casado
fire,fuego
game,juego
nobody,nadie
mr,Sres
children,niños
side,lado
stand,pararse
read,leer
though,aunque
cut,Corte
started,empezado
sister,hermana
supposed,supuesto
between,Entre
child,niño
goes,va
hours,horas
speak,hablar
women,mujeres
behind,detrás
almost,casi
truth,verdad
blood,sangre
able,poder
lady,dama
anymore,más
playing,jugando
gets,obtiene
shot,Disparo
reason,razón
trouble,problema
break,descanso
war,guerra
city,ciudad
walk,caminar
town,pueblo
trust,confianza
dr.,dr.
met,reunió
office,oficina
question,pregunta
brought,trajo
yours,tuya
welcome,bienvenidos
high,alto
wow,guau
couple,pareja
half,mitad
died,murió
cool,Frío
free,libre
either,o
seems,parece
power,energía
whoa,whoa
bye,adiós
buy,comprar
telling,narración
honey,miel
tried,intentó
front,frente
team,equipo
answer,responder
gun,pistola
boys,Niños
line,línea
send,enviar
news,noticias
stupid,tonto
bed,cama
hurry,apuro
full,completo
months,meses
save,ahorrar
sometimes,algunas veces
become,convertirse en
along,a lo largo de
hate,odio
food,alimento
outside,fuera de
light,luz
needs,necesidades
dog,perro
country,país
clear,claro
order,ordenar
em,Em
fact,hecho
lord,caballero
captain,capitán
six,seis
hot,caliente
funny,gracioso
black,negro
mrs.,Señora.
alive,viva
pick,elegir
feeling,sentimiento
living,vivir
cause,causa
ahead,adelante
lose,perder
king,rey
plan,plan
dinner,cena
sighs,suspiros
sort,clasificar
leaving,partida
shouldn,deberían
running,correr
boss,jefe
alright,está bien
promise,promesa
taken,tomado
safe,seguro
ma,mamá
book,libro
sent,enviado
white,blanco
hour,hora
anybody,cualquiera
small,pequeña
perfect,Perfecto
cause,causa
lives,vive
special,especial
parents,padres
s,s
john,Juan
himself,él mismo
perhaps,quizás
sounds,sonidos
serious,serio
sick,enfermo
company,empresa
ha,decir ah
scared,asustado
uncle,tío
poor,pobre
red,rojo
past,pasado
earth,tierra
possible,posible
shoot,disparar
touch,tocar
sound,sonido
top,parte superior
ass,culo
laughs,risas
cannot,no poder
asking,pidiendo
win,victoria
glad,contento
control,control
hmm,mmm
human,humano
drive,conducir
hair,pelo
jack,Jack
bitch,perra
luck,suerte
murder,asesinato
happens,ocurrir
air,aire
ten,diez
daddy,papi
finally,finalmente
chuckles,risas
fast,rápido
cold,frío
seem,parecer
laughing,reír
words,palabras
hospital,hospital
street,calle
hang,colgar
dance,baile
meeting,reunión
till,hasta
others,otros
catch,captura
follow,seguir
sense,sentido
sex,sexo
lie,mentir
evening,tardecita
master,Maestro
known,conocido
dream,sueño
write,escribe
million,millón
voice,voz
sweet,dulce
rather,bastante
felt,sintió
sign,señal
lucky,afortunado
somewhere,en algún lugar
bet,apuesta
o,O
jesus,Jesús
longer,más extenso
calling,vocación
worked,trabajó
quiet,tranquilo
looked,mirado
less,menos
pull,jalar
beat,derrotar
careful,Cuidado
coffee,café
return,devolver
secret,secreto
weeks,semanas
weren,weren
date,fecha
seeing,viendo
fall,otoño
given,dado
ooh,Oh
fault,culpa
straight,directo
takes,toma
song,canción
future,futuro
gentlemen,caballeros
loved,amado
changed,cambió
road,la carretera
calm,calma
wonderful,maravilloso
mad,enojado
turned,transformado
drop,soltar
ladies,señoras
learn,aprender
step,paso
absolutely,absolutamente
early,temprano
explain,explique
clean,limpio
piece,pieza
yesterday,el dia de ayer
throw,lanzar
picture,imagen
land,tierra
feet,pies
wonder,preguntarse
questions,preguntas
speaking,discurso
worth,valor
darling,querida
dude,tipo
giving,donación
president,presidente
eye,ojo
quick,rápido
moving,Moviente
figure,figura
state,estado
strong,fuerte
sam,sam
none,ninguna
amazing,increíble
ones,unos
works,obras
act,Actuar
needed,necesario
weird,extraño
law,ley
worried,preocupado
report,reporte
goodbye,adiós
missing,perdido
choice,elección
happening,sucediendo
chief,jefe
wedding,boda
strange,extraño
general,general
pain,dolor
am,soy
kidding,bromear
decided,decidió
ya,ya
pass,pasar
tired,cansado
class,clase
officer,oficial
kept,mantuvo
wake,despertarse
worse,peor
busy,ocupado
eh,eh
mistake,error
kiss,Beso
court,tribunal
building,edificio
finish,finalizar
during,durante
age,años
ship,Embarcacion
caught,capturado
marry,casar
meant,quiso decir
sell,vender
dark,oscuro
watching,mirando
system,sistema
suppose,suponer
evidence,evidencia
movie,película
ride,conducir
completely,completamente
mouth,boca
totally,totalmente
birthday,cumpleaños
tv,televisión
forgive,perdonar
born,nacido
imagine,imaginar
information,información
instead,en cambio
definitely,definitivamente
security,seguridad
certainly,seguramente
film,película
month,mes
lying,mintiendo
unless,a no ser que
train,tren
seven,Siete
wear,tener puesto
clothes,ropa
michael,Miguel
hotel,hotel
christmas,Navidad
attack,ataque
hasn,no ha
round,redondo
expect,suponer
sing,cantar
terrible,horrible
george,Jorge
bag,bolsa
history,historia
blue,azul
near,cerca
broke,rompió
station,estación
seriously,en serio
forever,Siempre
david,David
frank,franco
except,excepto
thinks,pensamiento
message,mensaje
entire,completo
joe,José
table,mesa
talked,habló
across,a través de
rock,roca
lovely,hermoso
handle,resolver
middle,medio
buddy,amigo
paid,pagado
protect,proteger
using,usando
floor,piso
ran,corrió
swear,jurar
spend,gastar
situation,situación
ring,anillo
anywhere,en cualquier sitio
dangerous,peligroso
bill,factura
york,York
army,ejército
lead,Plomo
bought,comprado
finished,acabado
fair,justa
sun,sol
letter,carta
fool,engañar
attention,atención
club,club
simple,simple
interesting,interesante
space,espacio
test,prueba
box,caja
group,grupo
single,único
sitting,sesión
marriage,matrimonio
join,unirse
fear,miedo
peace,paz
forgot,olvidó
force,fuerza
short,corto
normal,normal
charlie,charlie
present,presente
enjoy,disfrutar
mike,Miguel
crime,delito
horse,caballo
ground,terrestre
american,americano
count,contar
area,área
charge,cobrar
honor,honor
lunch,comida
miles,millas
radio,radio
idiot,estúpido
ball,pelota
surprise,sorpresa
paper,papel
key,llave
boat,barco
quickly,rápidamente
gold,oro
bar,bar
fish,pez
mark,Marcos
tom,Tomás
wearing,usando
crying,llorando
accident,accidente
government,gobierno
eight,ocho
fell,cayó
cover,cubrir
certain,cierto
interested,interesado
deep,profundo
star,estrella
sea,mar
agree,aceptar
problems,problemas
detective,detective
prison,prisión
major,importante
stick,palo
offer,oferta
difficult,difícil
smart,inteligente
personal,personal
record,registro
stopped,detenido
hide,ocultar
whether,ya sea
bank,banco
trip,viaje
relax,relax
america,America
public,público
list,lista
afternoon,tarde
brain,cerebro
fix,arreglar
bastard,bastardo
proud,orgulloso
tea,té
service,Servicio
screaming,gritando
forward,delantero
angry,enfadado
park,parque
soul,alma
fighting,lucha
peter,péter
rich,rico
agent,agente
blow,explotar
paul,Pablo
dress,vestir
mary,María
missed,omitido
scene,escena
killing,asesinato
standing,de pie
saved,salvado
mm,mm
respect,respeto
killer,asesino
ice,hielo
mess,desorden
tough,pese
feels,siente
church,iglesia
sad,triste
cell,célula
drunk,ebrio
share,Cuota
camera,cámara
mm-hmm,mm-hmm
within,dentro de
card,tarjeta
fly,volar
ben,ben
girlfriend,Novia
laugh,risa
smell,oler
broken,roto
